,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.1402552127838135,4.360606670379639,0.09464003164556962,,,,,,
391,,1.4527243375778198,0.4858583860759494,1.7482123374938965,4.054324388504028,0.3810182224454172,4.054324388504028,1.3717172145843506,1.3717172145843506
782,,1.3477615118026733,0.520371835443038,1.4061424732208252,4.096035718917847,0.5039042519486469,8.150360107421875,1.397132158279419,2.7688493728637695
1173,,1.2505600452423096,0.5647745253164557,1.2992054224014282,4.057417631149292,0.5449248721532505,12.207777738571167,1.371070384979248,4.139919757843018
1564,,1.2078940868377686,0.572685917721519,1.2282066345214844,4.1467201709747314,0.5711516943734015,16.3544979095459,1.396601676940918,5.5365214347839355
1955,,1.1933441162109375,0.575751582278481,1.1736879348754883,4.173164129257202,0.5917718989769821,20.5276620388031,1.372988224029541,6.909509658813477
2346,,1.1598401069641113,0.5992879746835443,1.133888602256775,4.119748592376709,0.6050191815856778,24.64741063117981,1.395684003829956,8.305193662643433
