,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.1401689052581787,6.705936431884766,0.10166139240506329,,,,,,
391,,1.4512757062911987,0.4876384493670886,1.7573301792144775,4.071131229400635,0.38636908567774936,4.071131229400635,1.384279489517212,1.384279489517212
782,,1.3493627309799194,0.5232397151898734,1.3805558681488037,4.041419267654419,0.5154331841737109,8.112550497055054,1.4744744300842285,2.8587539196014404
1173,,1.2647806406021118,0.555379746835443,1.2897533178329468,4.055249452590942,0.5509151214986201,12.167799949645996,1.3807361125946045,4.239490032196045
1564,,1.246749758720398,0.5603243670886076,1.2466790676116943,4.076393365859985,0.5669557225063938,16.24419331550598,1.4462823867797852,5.68577241897583
1955,,1.2205009460449219,0.5697191455696202,1.2082350254058838,4.054313898086548,0.5788003516471599,20.29850721359253,1.4006099700927734,7.0863823890686035
2346,,1.1911391019821167,0.5848496835443038,1.1773568391799927,4.056979179382324,0.5898417519486469,24.355486392974854,1.3791916370391846,8.465574026107788
2737,,1.18020498752594,0.5894976265822784,1.1527329683303833,4.096689224243164,0.6003077046188248,28.452175617218018,1.4696698188781738,9.935243844985962
3128,,1.2071605920791626,0.578125,1.1281139850616455,4.053268909454346,0.6096187659998988,32.50544452667236,1.3832027912139893,11.318446636199951
3519,,1.1480789184570312,0.6019580696202531,1.1116706132888794,4.050145149230957,0.6137308184143222,36.55558967590332,1.4458580017089844,12.764304637908936
