,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,training_finished,time_read_data_this_epoch,time_read_data_total,training_finish_requested
0,3.8333029747009277,11.215678215026855,0.10452927215189874,,,,,,,,
391,,1.4580219984054565,0.4780458860759494,1.8049769401550293,19.714658975601196,0.38112611889534287,19.714658975601196,True,1.3778769969940186,1.3778769969940186,True
