,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,1.9987781047821045,4.013535499572754,0.10106803797468354,,,,,,
391,,1.4732812643051147,0.49060522151898733,1.7693877220153809,4.140523910522461,0.38190936706864925,4.140523910522461,1.396188735961914,1.396188735961914
782,,1.3256564140319824,0.541435917721519,1.3949862718582153,4.122242450714111,0.5162404092681377,8.262766361236572,1.3735599517822266,2.7697486877441406
1173,,1.2491263151168823,0.5638844936708861,1.275862455368042,4.059211492538452,0.5588075447722775,12.321977853775024,1.389228105545044,4.158976793289185
