,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,training_finished,time_read_data_this_epoch,time_read_data_total,training_finish_requested
0,3.92097806930542,5.558363437652588,0.09424446202531646,,,,,,,,
391,,1.2735971212387085,0.5529074367088608,1.5806035995483398,10.971995115280151,0.4472786125624576,10.971995115280151,True,1.4726097583770752,1.4726097583770752,True
