,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.1233601570129395,7.126401901245117,0.0982001582278481,,,,,,
391,,1.5698952674865723,0.4546083860759494,1.9231022596359253,4.063716173171997,0.3351062979844525,4.063716173171997,1.4978570938110352,1.4978570938110352
782,,1.4333263635635376,0.5020767405063291,1.5097662210464478,4.047244548797607,0.4686381074473681,8.110960721969604,1.4363148212432861,2.9341719150543213
1173,,1.3271392583847046,0.534315664556962,1.3861967325210571,4.046982049942017,0.5156729539946827,12.157942771911621,1.4397964477539062,4.3739683628082275
1564,,1.2819006443023682,0.5459849683544303,1.3057154417037964,4.078469753265381,0.5441895779746267,16.236412525177002,1.5012917518615723,5.8752601146698
1955,,1.2440621852874756,0.5644778481012658,1.2466402053833008,4.0504326820373535,0.5665201406802058,20.286845207214355,1.4588322639465332,7.334092378616333
2346,,1.208259105682373,0.5838607594936709,1.2040363550186157,4.043565511703491,0.5826566496011242,24.330410718917847,1.476365327835083,8.810457706451416
