,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.701561212539673,2.938061475753784,0.0982001582278481,,,,,,
391,,1.4387180805206299,0.487440664556962,1.69977867603302,4.320025682449341,0.39624360607713077,4.320025682449341,1.5143873691558838,1.5143873691558838
782,,1.3225610256195068,0.5346123417721519,1.3707423210144043,4.713841438293457,0.5211796675191815,9.033867120742798,1.6675286293029785,3.1819159984588623
1173,,1.2403639554977417,0.5674446202531646,1.2690404653549194,4.3543641567230225,0.5581721547619461,13.38823127746582,1.5048954486846924,4.686811447143555
