,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,training_finished,time_read_data_this_epoch,time_read_data_total,training_finish_requested
0,3.858290910720825,23.94145393371582,0.00435126582278481,,,,,,,,
391,,1.3773964643478394,0.512559335443038,1.860848307609558,38.76446843147278,0.3965273337900791,38.76446843147278,True,1.6055428981781006,1.6055428981781006,True
