,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.0462870597839355,2.938061475753784,0.0982001582278481,,,,,,
391,,1.4390642642974854,0.486748417721519,1.7002300024032593,4.037336587905884,0.3953444692484863,4.037336587905884,1.4189417362213135,1.4189417362213135
782,,1.3232284784317017,0.534315664556962,1.3706780672073364,3.995465040206909,0.5209638746193302,8.032801628112793,1.4058234691619873,2.824765205383301
1173,,1.2382512092590332,0.5671479430379747,1.2675691843032837,3.9811575412750244,0.5584478900408196,12.013959169387817,1.4075837135314941,4.232348918914795
1564,,1.202876329421997,0.5752571202531646,1.2033648490905762,3.9735851287841797,0.5810621803069054,15.987544298171997,1.4072191715240479,5.639568090438843
1955,,1.1692126989364624,0.5928599683544303,1.1518383026123047,3.988248348236084,0.6022977941024029,19.97579264640808,1.4153330326080322,7.054901123046875
2346,,1.1422723531723022,0.6040348101265823,1.115375280380249,4.0113303661346436,0.6154851342558556,23.987123012542725,1.4009203910827637,8.455821514129639
2737,,1.121821403503418,0.6097705696202531,1.0933276414871216,4.063424348831177,0.6232856457952953,28.0505473613739,1.4521803855895996,9.908001899719238
3128,,1.136813998222351,0.6013647151898734,1.0688207149505615,3.969804525375366,0.6298233695957057,32.02035188674927,1.3928234577178955,11.300825357437134
